"﻿LID "," NP "," PD "," ED "," LSI "," AREA_AM "," SHAPE_MN "," SHAPE_SD "," FRAC_MN "," FRAC_SD "," CONTIG_MN "," CONTIG_SD "," CONTAG "," SHDI "," SIDI "," MSIDI "," SHEI",F1_ACC,F1_DAR,F1_ZNZ,F1_S1,F1_S2,F1_S3
ACC_01,32205,514868.0232,13803.1633,87.3043,2.6234,1.2577,0.7927,2.85978E+12,1.66898E+14,0.2455,0.2462,35.8478,0.6421,0.4498,0.5976,0.9264,0.88,0.66,0.43,0.54,0.2,0.86
ACC_02,29708,475708.4907,12303.9212,77.8687,2.9449,1.2535,0.7224,1.40324E+12,1.02109E+14,0.2833,0.2519,39.4741,0.6134,0.4224,0.5489,0.885,0.87,0.53,0.32,0.4,0.1,0.87
ACC_03,25835,413029.5103,11925.8974,75.5667,2.9227,1.2816,0.7623,1.82679E+12,9.97512E+13,0.2795,0.2619,39.5188,0.6175,0.4263,0.5557,0.8909,0.88,0.67,0.49,0.53,0.29,0.86
ACC_04,46455,742685.7326,16101.2764,101.6732,1.0671,1.2022,0.7898,1.37016E+12,1.06369E+14,0.1918,0.211,29.833,0.6927,0.4995,0.6922,0.9993,0.83,0.66,0.68,0.53,0.74,0.7
ACC_05,47981,767082.2115,15687.7673,99.0878,2.2276,1.2108,0.761,1.81166E+12,1.29354E+14,0.1816,0.2047,32.2035,0.6671,0.4742,0.6428,0.9624,0.84,0.69,0.7,0.64,0.72,0.71
ACC_06,47974,766970.301,16310.7568,102.983,1.6763,1.2175,0.8237,1.75636E+12,1.28329E+14,0.1652,0.1958,30.3018,0.6844,0.4913,0.6758,0.9874,0.84,0.67,0.71,0.65,0.72,0.66
ACC_07,32719,523085.4479,13145.2577,83.1907,1.3977,1.2364,0.8129,1.38404E+12,1.19086E+14,0.212,0.2108,32.6389,0.6914,0.4983,0.6897,0.9975,0.81,0.54,0.23,0.61,0.26,0.69
ACC_08,38427,614340.4294,14345.9929,90.6983,1.9771,1.2556,0.8702,1.50761E+12,1.29474E+14,0.1897,0.2044,32.1042,0.6838,0.4907,0.6747,0.9865,0.8,0.57,0.34,0.66,0.19,0.67
ACC_09,37278,595971.1277,13764.2824,87.0612,1.3144,1.2393,0.7899,1.55641E+12,1.35157E+14,0.2167,0.2103,32.0288,0.6917,0.4986,0.6903,0.998,0.8,0.47,0.25,0.56,0.08,0.65
ACC_10,49056,784268.4597,19074.4334,120.2629,2.3599,1.27,0.9487,1.56789E+12,1.25876E+14,0.237,0.2239,30.2681,0.6559,0.4632,0.6221,0.9462,0.58,0.5,0.42,0.65,0.09,0.47
ZNZ_01,13311,212976,3818.688,24.8668,5.0938,1.1843,0.4821,1.5665E+12,1.10135E+14,0.2476,0.2375,72.0842,0.3035,0.1645,0.1797,0.4378,0.16,0.34,0.81,0.57,0.54,0.13
ZNZ_02,49434,790627.7489,20105.6218,126.6853,1.3008,1.2338,0.9282,1.72823E+12,1.30366E+14,0.2403,0.2365,26.4635,0.6931,0.5,0.6931,0.9999,0.24,0.32,0.48,0.69,0.52,0.26
ZNZ_03,14442,231072,4113.904,26.7119,4.8958,1.1816,0.481,1.53719E+12,1.0377E+14,0.234,0.2343,69.8278,0.3287,0.1827,0.2017,0.4743,0.29,0.54,0.75,0.54,0.53,0.21
ZNZ_04,30287,484398.2407,12824.1184,81.1668,1.3864,1.2261,0.7901,2.01569E+12,1.27E+14,0.2464,0.243,34.1621,0.6757,0.4826,0.659,0.9748,0.56,0.59,0.77,0.67,0.64,0.56
ZNZ_05,39330,629028.3886,15691.0196,99.0885,1.8373,1.2438,0.82,1.94013E+12,1.3599E+14,0.2477,0.2335,31.5428,0.6755,0.4824,0.6586,0.9745,0.55,0.56,0.72,0.65,0.47,0.44
